Economy_Label,CargoType_Label,Year,Metric_tons_in_millions_Value,Metric_tons_Footnote,Metric_tons_MissingValue
"World","Crude oil loaded",1970,1207,,
"World","Crude oil loaded",1971,1210,,
"World","Crude oil loaded",1972,1321,,
"World","Crude oil loaded",1973,1514,,
"World","Crude oil loaded",1974,1497,,
"World","Crude oil loaded",1975,1364,,
"World","Crude oil loaded",1976,1555,,
"World","Crude oil loaded",1977,1599,,
"World","Crude oil loaded",1978,1604,,
"World","Crude oil loaded",1979,1725,,
"World","Crude oil loaded",1980,1527,,
"World","Crude oil loaded",1981,1364,,
"World","Crude oil loaded",1982,1163,,
"World","Crude oil loaded",1983,1069,,
"World","Crude oil loaded",1984,1079,,
"World","Crude oil loaded",1985,1049,,
"World","Crude oil loaded",1986,1126,,
"World","Crude oil loaded",1987,1107,,
"World","Crude oil loaded",1988,1160,,
"World","Crude oil loaded",1989,1260,,
"World","Crude oil loaded",1990,1287,,
"World","Crude oil loaded",1991,1333,,
"World","Crude oil loaded",1992,1394,,
"World","Crude oil loaded",1993,1443,,
"World","Crude oil loaded",1994,1498,,
"World","Crude oil loaded",1995,1532,,
"World","Crude oil loaded",1996,1590,,
"World","Crude oil loaded",1997,1626,,
"World","Crude oil loaded",1998,1548,,
"World","Crude oil loaded",1999,1553,,
"World","Crude oil loaded",2000,1605,,
"World","Crude oil loaded",2001,1678,,
"World","Crude oil loaded",2002,1637,,
"World","Crude oil loaded",2003,1690,,
"World","Crude oil loaded",2004,1770,,
"World","Crude oil loaded",2005,1857,,
"World","Crude oil loaded",2006,1783,,
"World","Crude oil loaded",2007,1814,,
"World","Crude oil loaded",2008,1785,,
"World","Crude oil loaded",2009,1710,,
"World","Crude oil loaded",2010,1785,,
"World","Crude oil loaded",2011,1751,,
"World","Crude oil loaded",2012,1785,,
"World","Crude oil loaded",2013,1738,,
"World","Crude oil loaded",2014,1712,,
"World","Crude oil loaded",2015,1761,,
"World","Crude oil loaded",2016,1832,,
"World","Crude oil loaded",2017,1875,,
"World","Crude oil loaded",2018,1881,,
"World","Crude oil loaded",2019,1860,,
"World","Crude oil loaded",2020,1715,,
"World","Crude oil loaded",2021,1700,,
"World","Other tanker trade loaded",1970,233,,
"World","Other tanker trade loaded",1971,320,,
"World","Other tanker trade loaded",1972,332,,
"World","Other tanker trade loaded",1973,353,,
"World","Other tanker trade loaded",1974,335,,
"World","Other tanker trade loaded",1975,280,,
"World","Other tanker trade loaded",1976,289,,
"World","Other tanker trade loaded",1977,293,,
"World","Other tanker trade loaded",1978,296,,
"World","Other tanker trade loaded",1979,318,,
"World","Other tanker trade loaded",1980,344,,
"World","Other tanker trade loaded",1981,327,,
"World","Other tanker trade loaded",1982,350,,
"World","Other tanker trade loaded",1983,392,,
"World","Other tanker trade loaded",1984,399,,
"World","Other tanker trade loaded",1985,410,,
"World","Other tanker trade loaded",1986,424,,
"World","Other tanker trade loaded",1987,441,,
"World","Other tanker trade loaded",1988,456,,
"World","Other tanker trade loaded",1989,468,,
"World","Other tanker trade loaded",1990,468,,
"World","Other tanker trade loaded",1991,457,,
"World","Other tanker trade loaded",1992,466,,
"World","Other tanker trade loaded",1993,502,,
"World","Other tanker trade loaded",1994,509,,
"World","Other tanker trade loaded",1995,518,,
"World","Other tanker trade loaded",1996,537,,
"World","Other tanker trade loaded",1997,546,,
"World","Other tanker trade loaded",1998,534,,
"World","Other tanker trade loaded",1999,532,,
"World","Other tanker trade loaded",2000,558,,
"World","Other tanker trade loaded",2001,499,,
"World","Other tanker trade loaded",2002,509,,
"World","Other tanker trade loaded",2003,533,,
"World","Other tanker trade loaded",2004,546,,
"World","Other tanker trade loaded",2005,565,,
"World","Other tanker trade loaded",2006,915,,
"World","Other tanker trade loaded",2007,934,,
"World","Other tanker trade loaded",2008,957,,
"World","Other tanker trade loaded",2009,931,,
"World","Other tanker trade loaded",2010,968,,
"World","Other tanker trade loaded",2011,1028,,
"World","Other tanker trade loaded",2012,1055,,
"World","Other tanker trade loaded",2013,1091,,
"World","Other tanker trade loaded",2014,1121,,
"World","Other tanker trade loaded",2015,1178,,
"World","Other tanker trade loaded",2016,1238,,
"World","Other tanker trade loaded",2017,1279,,
"World","Other tanker trade loaded",2018,1320,,
"World","Other tanker trade loaded",2019,1303,,
"World","Other tanker trade loaded",2020,1203,,
"World","Other tanker trade loaded",2021,1252,,
"World","Dry cargo loaded",1970,1165,,
"World","Dry cargo loaded",1971,1162,,
"World","Dry cargo loaded",1972,1221,,
"World","Dry cargo loaded",1973,1407,,
"World","Dry cargo loaded",1974,1472,,
"World","Dry cargo loaded",1975,1428,,
"World","Dry cargo loaded",1976,1522,,
"World","Dry cargo loaded",1977,1576,,
"World","Dry cargo loaded",1978,1650,,
"World","Dry cargo loaded",1979,1785,,
"World","Dry cargo loaded",1980,1833,,
"World","Dry cargo loaded",1981,1864,,
"World","Dry cargo loaded",1982,1760,,
"World","Dry cargo loaded",1983,1770,,
"World","Dry cargo loaded",1984,1886,,
"World","Dry cargo loaded",1985,1895,,
"World","Dry cargo loaded",1986,1835,,
"World","Dry cargo loaded",1987,1987,,
"World","Dry cargo loaded",1988,2119,,
"World","Dry cargo loaded",1989,2212,,
"World","Dry cargo loaded",1990,2253,,
"World","Dry cargo loaded",1991,2330,,
"World","Dry cargo loaded",1992,2360,,
"World","Dry cargo loaded",1993,2385,,
"World","Dry cargo loaded",1994,2478,,
"World","Dry cargo loaded",1995,2601,,
"World","Dry cargo loaded",1996,2631,,
"World","Dry cargo loaded",1997,2781,,
"World","Dry cargo loaded",1998,3549,,
"World","Dry cargo loaded",1999,3598,,
"World","Dry cargo loaded",2000,3821,,
"World","Dry cargo loaded",2001,3844,,
"World","Dry cargo loaded",2002,3981,,
"World","Dry cargo loaded",2003,4257,,
"World","Dry cargo loaded",2004,4442,,
"World","Dry cargo loaded",2005,4687,,
"World","Dry cargo loaded",2006,5004,,
"World","Dry cargo loaded",2007,5289,,
"World","Dry cargo loaded",2008,5486,,
"World","Dry cargo loaded",2009,5177,,
"World","Dry cargo loaded",2010,5649,,
"World","Dry cargo loaded",2011,5959,,
"World","Dry cargo loaded",2012,6357,,
"World","Dry cargo loaded",2013,6625,,
"World","Dry cargo loaded",2014,6983,,
"World","Dry cargo loaded",2015,7074,,
"World","Dry cargo loaded",2016,7176,,
"World","Dry cargo loaded",2017,7560,,
"World","Dry cargo loaded",2018,7818,,
"World","Dry cargo loaded",2019,7908,,
"World","Dry cargo loaded",2020,7727,,
"World","Dry cargo loaded",2021,8033,,
"World","Total goods loaded",1970,2605,,
"World","Total goods loaded",1971,2692,,
"World","Total goods loaded",1972,2874,,
"World","Total goods loaded",1973,3274,,
"World","Total goods loaded",1974,3304,,
"World","Total goods loaded",1975,3072,,
"World","Total goods loaded",1976,3366,,
"World","Total goods loaded",1977,3468,,
"World","Total goods loaded",1978,3550,,
"World","Total goods loaded",1979,3828,,
"World","Total goods loaded",1980,3704,,
"World","Total goods loaded",1981,3555,,
"World","Total goods loaded",1982,3273,,
"World","Total goods loaded",1983,3231,,
"World","Total goods loaded",1984,3364,,
"World","Total goods loaded",1985,3330,,
"World","Total goods loaded",1986,3385,,
"World","Total goods loaded",1987,3505,,
"World","Total goods loaded",1988,3735,,
"World","Total goods loaded",1989,3940,,
"World","Total goods loaded",1990,4008,,
"World","Total goods loaded",1991,4120,,
"World","Total goods loaded",1992,4220,,
"World","Total goods loaded",1993,4330,,
"World","Total goods loaded",1994,4485,,
"World","Total goods loaded",1995,4651,,
"World","Total goods loaded",1996,4758,,
"World","Total goods loaded",1997,4953,,
"World","Total goods loaded",1998,5631,,
"World","Total goods loaded",1999,5683,,
"World","Total goods loaded",2000,5984,,
"World","Total goods loaded",2001,6020,,
"World","Total goods loaded",2002,6127,,
"World","Total goods loaded",2003,6480,,
"World","Total goods loaded",2004,6758,,
"World","Total goods loaded",2005,7109,,
"World","Total goods loaded",2006,7702,,
"World","Total goods loaded",2007,8036,,
"World","Total goods loaded",2008,8228,,
"World","Total goods loaded",2009,7818,,
"World","Total goods loaded",2010,8401,,
"World","Total goods loaded",2011,8739,,
"World","Total goods loaded",2012,9197,,
"World","Total goods loaded",2013,9453,,
"World","Total goods loaded",2014,9816,,
"World","Total goods loaded",2015,10013,,
"World","Total goods loaded",2016,10247,,
"World","Total goods loaded",2017,10714,,
"World","Total goods loaded",2018,11019,,
"World","Total goods loaded",2019,11071,,
"World","Total goods loaded",2020,10645,,
"World","Total goods loaded",2021,10985,,
"World","Crude oil discharged",1970,1101,,
"World","Crude oil discharged",1971,1199,,
"World","Crude oil discharged",1972,1325,,
"World","Crude oil discharged",1973,1521,,
"World","Crude oil discharged",1974,1470,,
"World","Crude oil discharged",1975,1373,,
"World","Crude oil discharged",1976,1522,,
"World","Crude oil discharged",1977,1585,,
"World","Crude oil discharged",1978,1634,,
"World","Crude oil discharged",1979,1724,,
"World","Crude oil discharged",1980,1530,,
"World","Crude oil discharged",1981,1363,,
"World","Crude oil discharged",1982,1283,,
"World","Crude oil discharged",1983,1133,,
"World","Crude oil discharged",1984,1166,,
"World","Crude oil discharged",1985,1128,,
"World","Crude oil discharged",1986,1220,,
"World","Crude oil discharged",1987,1110,,
"World","Crude oil discharged",1988,1194,,
"World","Crude oil discharged",1989,1300,,
"World","Crude oil discharged",1990,1315,,
"World","Crude oil discharged",1991,1355,,
"World","Crude oil discharged",1992,1414,,
"World","Crude oil discharged",1993,1465,,
"World","Crude oil discharged",1994,1508,,
"World","Crude oil discharged",1995,1550,,
"World","Crude oil discharged",1996,1599,,
"World","Crude oil discharged",1997,1625,,
"World","Crude oil discharged",1998,1515,,
"World","Crude oil discharged",1999,1543,,
"World","Crude oil discharged",2000,1633,,
"World","Crude oil discharged",2001,1712,,
"World","Crude oil discharged",2002,1696,,
"World","Crude oil discharged",2003,1743,,
